"0","if(!require(""repmis"")){install.packages(""repmis"")}
"
"2","Loading required package: repmis
"
"0","library(""repmis"")"
"0","data <- source_data(""https://github.com/JCMO-ITAM/Data4Analysis/blob/master/d4a_allstateclaim_data.csv?raw=true"")"
"2","Downloading data from: https://github.com/JCMO-ITAM/Data4Analysis/blob/master/d4a_allstateclaim_data.csv?raw=true 

"
"2","SHA-1 hash of the downloaded data file is:
f99c63d65351dd1ff9e67aa3c66c94f5d9139f22
"
"0","data <- as.data.frame(data)"
"0","colnames(data)"
"1","[1]"
"1"," ""Household_ID"" "
"1"," ""Vehicle""      "
"1","
"
"1","[3]"
"1"," ""Calendar_Year"""
"1"," ""Model_Year""   "
"1","
"
"1","[5]"
"1"," ""Blind_Make""   "
"1"," ""Claim_Amount"" "
"1","
"
"0","data <- data[which(data$Calendar_Year==2005),]"
